NewsId,CreateDate,Source,Source_Type,Stock,Topic,Link
67954D47-76D1-4CC1-A030-1D4F024A31D4,37:03.0,RYT9,Website,AHC,AHC ชี้ไตรมาส 2/67 โตต่อ เปิดศูนย์บริการเต็มระบบ จ่อปิดดีลพันธมิตรไต้หวัน...,https://www.ryt9.com/s/prg/3522802
C06FDB64-6CB8-4084-BEA2-4DCD12176125,54:00.0,EfinanceThai,Website,AHC, สรุป Opp Day: AHC มั่นใจรายได้ปี 67 โตมากกว่า 10% หลังรุกขยายบริก...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=NEpLVTA4Wi9CMEE9&security=AHC
E61C6CFB-7F63-4700-95FC-09FE0E8DB195,04:49.0,ข่าวหุ้นธุรกิจ,Website,AI,ADVANC ผนึก Looloo Technology ออกแบบพิมพ์เขียว AI ลุ้นใช้ไตรมาส 4/67,https://www.kaohoon.com/news/680136
FDF1789D-EC4E-4EDA-A6E4-3D723BBC444B,06:44.0,ข่าวหุ้นธุรกิจ,Website,AI,ADVICE บวก 3% รับอานิสงส์ Apple เปิดตัวซอฟต์แวร์ AI เป้าคอนเซนซัส 6.55 บาท,https://www.kaohoon.com/breakingnews/679059
849B4C36-0635-46EA-8D41-E3C6440CE482,11:00.0,EfinanceThai,Website,AI, Apple เปิดตัว “Apple Intelligence” พร้อมฟีเจอร์ AI ใหม่ ในงาน WWD...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=REx4MjZXS1B6cDg9
52A248DC-4AC3-4B49-8743-6B0EE27BE4FD,16:51.0,Pantip Sinthorn,Webboard,AI,AI นิพพานได้ไหม?หุ้น,https://pantip.com/topic/42797654
ADB57F4A-1261-46ED-BEAF-CDA1C945E629,21:18.0,ข่าวหุ้นธุรกิจ,Website,AI,COM7 ดีด 5% นำกลุ่มค้าปลีกมือถือ อานิสงส์ Apple เปิดตัวซอฟต์แวร์ AI,https://www.kaohoon.com/breakingnews/678745
AF109AFD-3B39-4BAB-95AD-FE27E58AA996,26:00.0,EfinanceThai,Website,AI, BBLAM เสนอขาย IPO กองทุน ‘BP13/24(AI)’ วันที่ 19-21 มิ.ย.67,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=dFlRWG5XNXVCdVk9
E0D8A458-459C-46DD-90B3-C7B87330F9D8,28:21.0,ข่าวหุ้นธุรกิจ,Website,AI,KCE เด้ง 2% นำทีมกลุ่ม “อิเล็กฯ” รับกระแส AI หนุน-ตลาดโลกฟื้นตัว,https://www.kaohoon.com/news/680019
7A591726-25AA-4C8D-89EC-A0B85E913802,28:44.0,RYT9,Website,AI,SYNEX ยิ้มรับอานิสงส์กระแสฟีเจอร์เปิดตัว Apple Intelligence-PC AI,https://www.ryt9.com/s/iq05/3525668
7E9E6C2A-D52B-4D45-AF52-F7D73696F741,31:00.0,EfinanceThai,Website,AI, 61% ของซีอีโอในไทยเชื่อว่า AI จะเปลี่ยนแปลงการดำเนินงานของบริษัทใ...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=MmxWdUlEQ0dubkE9
